HGNC ID	Approved symbol	Approved name	Locus type	NCBI Gene ID(supplied by NCBI)
HGNC:5003	HMGXB4	HMG-box containing 4	gene with protein product	10042
HGNC:29677	HMHB1	histocompatibility minor HB-1	gene with protein product	57824
HGNC:5012	HMMR	hyaluronan mediated motility receptor	gene with protein product	3161
HGNC:49149	HMMR-AS1	HMMR antisense RNA 1	RNA, long non-coding	101927813
HGNC:5013	HMOX1	heme oxygenase 1	gene with protein product	3162
HGNC:5014	HMOX2	heme oxygenase 2	gene with protein product	3163
HGNC:23037	HMSD	histocompatibility minor serpin domain containing	gene with protein product	284293
HGNC:5017	HMX1	H6 family homeobox 1	gene with protein product	3166
HGNC:5018	HMX2	H6 family homeobox 2	gene with protein product	3167
HGNC:5019	HMX3	H6 family homeobox 3	gene with protein product	340784
HGNC:11621	HNF1A	HNF1 homeobox A	gene with protein product	6927
HGNC:26785	HNF1A-AS1	HNF1A antisense RNA 1	RNA, long non-coding	283460
HGNC:11630	HNF1B	HNF1 homeobox B	gene with protein product	6928
HGNC:5024	HNF4A	hepatocyte nuclear factor 4 alpha	gene with protein product	3172
HGNC:49505	HNF4A-AS1	HNF4A antisense RNA 1	RNA, long non-coding	101927219
HGNC:5026	HNF4G	hepatocyte nuclear factor 4 gamma	gene with protein product	3174
HGNC:35417	HNF4GP1	hepatocyte nuclear factor 4 gamma pseudogene 1	pseudogene	100130462
HGNC:5028	HNMT	histamine N-methyltransferase	gene with protein product	3176
HGNC:5030	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	gene with protein product	10949
HGNC:5031	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	gene with protein product	3178
HGNC:27067	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2	gene with protein product	144983
HGNC:13957	HNRNPA1P1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 1	pseudogene	645950
HGNC:13958	HNRNPA1P2	heterogeneous nuclear ribonucleoprotein A1 pseudogene 2	pseudogene	100131609
HGNC:16567	HNRNPA1P3	heterogeneous nuclear ribonucleoprotein A1 pseudogene 3	pseudogene	170524
HGNC:32234	HNRNPA1P4	heterogeneous nuclear ribonucleoprotein A1 pseudogene 4	pseudogene	389674
HGNC:15787	HNRNPA1P5	heterogeneous nuclear ribonucleoprotein A1 pseudogene 5	pseudogene	100506712
HGNC:5032	HNRNPA1P6	heterogeneous nuclear ribonucleoprotein A1 pseudogene 6	pseudogene	729423
HGNC:31015	HNRNPA1P7	heterogeneous nuclear ribonucleoprotein A1 pseudogene 7	pseudogene	388275
HGNC:39126	HNRNPA1P8	heterogeneous nuclear ribonucleoprotein A1 pseudogene 8	pseudogene	402562
HGNC:39127	HNRNPA1P9	heterogeneous nuclear ribonucleoprotein A1 pseudogene 9	pseudogene	100421389
HGNC:39128	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10	pseudogene	664709
HGNC:39129	HNRNPA1P11	heterogeneous nuclear ribonucleoprotein A1 pseudogene 11	pseudogene	100128044
HGNC:39130	HNRNPA1P12	heterogeneous nuclear ribonucleoprotein A1 pseudogene 12	pseudogene	644037
HGNC:39131	HNRNPA1P13	heterogeneous nuclear ribonucleoprotein A1 pseudogene 13	pseudogene	100131130
HGNC:39132	HNRNPA1P14	heterogeneous nuclear ribonucleoprotein A1 pseudogene 14	pseudogene	100421351
HGNC:39133	HNRNPA1P15	heterogeneous nuclear ribonucleoprotein A1 pseudogene 15	pseudogene	100421353
HGNC:39134	HNRNPA1P16	heterogeneous nuclear ribonucleoprotein A1 pseudogene 16	pseudogene	440396
HGNC:39135	HNRNPA1P17	heterogeneous nuclear ribonucleoprotein A1 pseudogene 17	pseudogene	100421376
HGNC:39445	HNRNPA1P18	heterogeneous nuclear ribonucleoprotein A1 pseudogene 18	pseudogene	100874400
HGNC:39537	HNRNPA1P19	heterogeneous nuclear ribonucleoprotein A1 pseudogene 19	pseudogene	100874402
HGNC:39538	HNRNPA1P20	heterogeneous nuclear ribonucleoprotein A1 pseudogene 20	pseudogene	344741
HGNC:39539	HNRNPA1P21	heterogeneous nuclear ribonucleoprotein A1 pseudogene 21	pseudogene	344697
HGNC:39540	HNRNPA1P22	heterogeneous nuclear ribonucleoprotein A1 pseudogene 22	pseudogene	729102
HGNC:39541	HNRNPA1P23	heterogeneous nuclear ribonucleoprotein A1 pseudogene 23	pseudogene	100130002
HGNC:39542	HNRNPA1P24	heterogeneous nuclear ribonucleoprotein A1 pseudogene 24	pseudogene	100874396
HGNC:39543	HNRNPA1P25	heterogeneous nuclear ribonucleoprotein A1 pseudogene 25	pseudogene	100131983
HGNC:39544	HNRNPA1P26	heterogeneous nuclear ribonucleoprotein A1 pseudogene 26	pseudogene	664722
HGNC:39545	HNRNPA1P27	heterogeneous nuclear ribonucleoprotein A1 pseudogene 27	pseudogene	664721
HGNC:39546	HNRNPA1P28	heterogeneous nuclear ribonucleoprotein A1 pseudogene 28	pseudogene	100288038
HGNC:39547	HNRNPA1P29	heterogeneous nuclear ribonucleoprotein A1 pseudogene 29	pseudogene	100421424
HGNC:39548	HNRNPA1P30	heterogeneous nuclear ribonucleoprotein A1 pseudogene 30	pseudogene	440125
HGNC:39549	HNRNPA1P31	heterogeneous nuclear ribonucleoprotein A1 pseudogene 31	pseudogene	100506925
HGNC:44958	HNRNPA1P32	heterogeneous nuclear ribonucleoprotein A1 pseudogene 32	pseudogene	645940
HGNC:44990	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	pseudogene	728643
HGNC:48763	HNRNPA1P34	heterogeneous nuclear ribonucleoprotein A1 pseudogene 34	pseudogene	100996501
HGNC:48764	HNRNPA1P35	heterogeneous nuclear ribonucleoprotein A1 pseudogene 35	pseudogene	645691
HGNC:48765	HNRNPA1P36	heterogeneous nuclear ribonucleoprotein A1 pseudogene 36	pseudogene	100128836
HGNC:48766	HNRNPA1P37	heterogeneous nuclear ribonucleoprotein A1 pseudogene 37	pseudogene	100421379
HGNC:48767	HNRNPA1P38	heterogeneous nuclear ribonucleoprotein A1pseudogene 38	pseudogene	100421384
HGNC:48768	HNRNPA1P39	heterogeneous nuclear ribonucleoprotein A1 pseudogene 39	pseudogene	402112
HGNC:48769	HNRNPA1P40	heterogeneous nuclear ribonucleoprotein A1 pseudogene 40	pseudogene	100129920
HGNC:48770	HNRNPA1P41	heterogeneous nuclear ribonucleoprotein A1 pseudogene 41	pseudogene	100128701
HGNC:48771	HNRNPA1P42	heterogeneous nuclear ribonucleoprotein A1 pseudogene 42	pseudogene	100287266
HGNC:48772	HNRNPA1P43	heterogeneous nuclear ribonucleoprotein A1 pseudogene 43	pseudogene	400769
HGNC:48774	HNRNPA1P44	heterogeneous nuclear ribonucleoprotein A1 pseudogene 44	pseudogene	100421432
HGNC:48775	HNRNPA1P45	heterogeneous nuclear ribonucleoprotein A1 pseudogene 45	pseudogene	100130660
HGNC:48776	HNRNPA1P46	heterogeneous nuclear ribonucleoprotein A1 pseudogene 46	pseudogene	100421399
HGNC:48777	HNRNPA1P47	heterogeneous nuclear ribonucleoprotein A1 pseudogene 47	pseudogene	100287191
HGNC:48778	HNRNPA1P48	heterogeneous nuclear ribonucleoprotein A1 pseudogene 48	unknown	642659
HGNC:48779	HNRNPA1P49	heterogeneous nuclear ribonucleoprotein A1 pseudogene 49	pseudogene	106481663
HGNC:48780	HNRNPA1P50	heterogeneous nuclear ribonucleoprotein A1 pseudogene 50	pseudogene	728170
HGNC:48781	HNRNPA1P51	heterogeneous nuclear ribonucleoprotein A1 pseudogene 51	pseudogene	729366
HGNC:48782	HNRNPA1P52	heterogeneous nuclear ribonucleoprotein A1 pseudogene 52	pseudogene	645001
HGNC:48783	HNRNPA1P53	heterogeneous nuclear ribonucleoprotein A1 pseudogene 53	pseudogene	728732
HGNC:48784	HNRNPA1P54	heterogeneous nuclear ribonucleoprotein A1 pseudogene 54	pseudogene	100421398
HGNC:48785	HNRNPA1P55	heterogeneous nuclear ribonucleoprotein A1 pseudogene 55	pseudogene	642958
HGNC:48786	HNRNPA1P56	heterogeneous nuclear ribonucleoprotein A1 pseudogene 56	pseudogene	391670
HGNC:48787	HNRNPA1P57	heterogeneous nuclear ribonucleoprotein A1 pseudogene 57	pseudogene	101060039
HGNC:48788	HNRNPA1P58	heterogeneous nuclear ribonucleoprotein A1 pseudogene 58	pseudogene	100289286
HGNC:48789	HNRNPA1P59	heterogeneous nuclear ribonucleoprotein A1 pseudogene 59	pseudogene	730246
HGNC:48790	HNRNPA1P60	heterogeneous nuclear ribonucleoprotein A1 pseudogene 60	pseudogene	120364
HGNC:48791	HNRNPA1P61	heterogeneous nuclear ribonucleoprotein A1 pseudogene 61	pseudogene	100288283
HGNC:48792	HNRNPA1P62	heterogeneous nuclear ribonucleoprotein A1 pseudogene 62	pseudogene	106480235
HGNC:48793	HNRNPA1P63	heterogeneous nuclear ribonucleoprotein A1 pseudogene 63	pseudogene	645436
HGNC:48794	HNRNPA1P64	heterogeneous nuclear ribonucleoprotein A1 pseudogene 64	pseudogene	100129325
HGNC:48795	HNRNPA1P65	heterogeneous nuclear ribonucleoprotein A1 pseudogene 65	pseudogene	106481664
HGNC:48796	HNRNPA1P66	heterogeneous nuclear ribonucleoprotein A1 pseudogene 66	pseudogene	391378
HGNC:48797	HNRNPA1P67	heterogeneous nuclear ribonucleoprotein A1 pseudogene 67	pseudogene	728019
HGNC:48798	HNRNPA1P68	heterogeneous nuclear ribonucleoprotein A1 pseudogene 68	pseudogene	100421397
HGNC:48799	HNRNPA1P69	heterogeneous nuclear ribonucleoprotein A1 pseudogene 69	pseudogene	105369973
HGNC:48800	HNRNPA1P70	heterogeneous nuclear ribonucleoprotein A1 pseudogene 70	pseudogene	341333
HGNC:48801	HNRNPA1P71	heterogeneous nuclear ribonucleoprotein A1 pseudogene 71	pseudogene	100421433
HGNC:48802	HNRNPA1P72	heterogeneous nuclear ribonucleoprotein A1 pseudogene 72	pseudogene	106480236
HGNC:48803	HNRNPA1P73	heterogeneous nuclear ribonucleoprotein A1 pseudogene 73	pseudogene	100129606
HGNC:48804	HNRNPA1P74	heterogeneous nuclear ribonucleoprotein A1 pseudogene 74	pseudogene	100421430
HGNC:48805	HNRNPA1P75	heterogeneous nuclear ribonucleoprotein A1 pseudogene 75	pseudogene	112436691
HGNC:48806	HNRNPA1P76	heterogeneous nuclear ribonucleoprotein A1 pseudogene 76	pseudogene	106480675
HGNC:48807	HNRNPA1P77	heterogeneous nuclear ribonucleoprotein A1 pseudogene 77	pseudogene	100421378
HGNC:5033	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	gene with protein product	3181
HGNC:24941	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	gene with protein product	220988
HGNC:13729	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	pseudogene	10151
HGNC:16605	HNRNPA3P2	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2	pseudogene	170526
HGNC:39772	HNRNPA3P3	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3	pseudogene	643689
HGNC:39773	HNRNPA3P4	heterogeneous nuclear ribonucleoprotein A3 pseudogene 4	pseudogene	389395
HGNC:39774	HNRNPA3P5	heterogeneous nuclear ribonucleoprotein A3 pseudogene 5	pseudogene	387933
HGNC:48495	HNRNPA3P6	heterogeneous nuclear ribonucleoprotein A3 pseudogene 6	pseudogene	653115
HGNC:48496	HNRNPA3P7	heterogeneous nuclear ribonucleoprotein A3 pseudogene 7	pseudogene	100421357
HGNC:48497	HNRNPA3P8	heterogeneous nuclear ribonucleoprotein A3 pseudogene 8	pseudogene	100129557
HGNC:48755	HNRNPA3P9	heterogeneous nuclear ribonucleoprotein A3 pseudogene 9	pseudogene	100421415
HGNC:48756	HNRNPA3P10	heterogeneous nuclear ribonucleoprotein A3 pseudogene 10	pseudogene	100421413
HGNC:48757	HNRNPA3P11	heterogeneous nuclear ribonucleoprotein A3 pseudogene 11	pseudogene	100421431
HGNC:48758	HNRNPA3P12	heterogeneous nuclear ribonucleoprotein A3 pseudogene 12	pseudogene	100421395
HGNC:48759	HNRNPA3P13	heterogeneous nuclear ribonucleoprotein A3 pseudogene 13	pseudogene	441026
HGNC:48760	HNRNPA3P14	heterogeneous nuclear ribonucleoprotein A3 pseudogene 14	pseudogene	729817
HGNC:48761	HNRNPA3P15	heterogeneous nuclear ribonucleoprotein A3 pseudogene 15	pseudogene	106480234
HGNC:48762	HNRNPA3P16	heterogeneous nuclear ribonucleoprotein A3 pseudogene 16	pseudogene	100421451
HGNC:5034	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	gene with protein product	3182
HGNC:48744	HNRNPABP1	heterogeneous nuclear ribonucleoprotein A/B pseudogene 1	pseudogene	390294
HGNC:5035	HNRNPC	heterogeneous nuclear ribonucleoprotein C	gene with protein product	3183
HGNC:29295	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C like 1	gene with protein product	343069
HGNC:48813	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C like 2	gene with protein product	440563
HGNC:51235	HNRNPCL3	heterogeneous nuclear ribonucleoprotein C like 3	gene with protein product	649330
HGNC:51333	HNRNPCL4	heterogeneous nuclear ribonucleoprotein C like 4	gene with protein product	101060301
HGNC:20017	HNRNPCP1	heterogeneous nuclear ribonucleoprotein C pseudogene 1	pseudogene	319133
HGNC:48814	HNRNPCP2	heterogeneous nuclear ribonucleoprotein C pseudogene 2	pseudogene	653447
HGNC:48815	HNRNPCP3	heterogeneous nuclear ribonucleoprotein C pseudogene 3	pseudogene	646956
HGNC:48816	HNRNPCP4	heterogeneous nuclear ribonucleoprotein C pseudogene 4	pseudogene	100421828
HGNC:48817	HNRNPCP6	heterogeneous nuclear ribonucleoprotein C pseudogene 6	pseudogene	100421794
HGNC:48818	HNRNPCP7	heterogeneous nuclear ribonucleoprotein C pseudogene 7	pseudogene	100127907
HGNC:48819	HNRNPCP8	heterogeneous nuclear ribonucleoprotein C pseudogene 8	pseudogene	100131842
HGNC:48820	HNRNPCP9	heterogeneous nuclear ribonucleoprotein C pseudogene 9	pseudogene	100130196
HGNC:48821	HNRNPCP10	heterogeneous nuclear ribonucleoprotein C pseudogene 10	pseudogene	100129229
HGNC:5036	HNRNPD	heterogeneous nuclear ribonucleoprotein D	gene with protein product	3184
HGNC:5037	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	gene with protein product	9987
HGNC:48752	HNRNPDLP1	HNRNPDL pseudogene 1	pseudogene	100128595
HGNC:48753	HNRNPDLP2	HNRNPDL pseudogene 2	pseudogene	100128061
HGNC:48754	HNRNPDLP3	HNRNPDL pseudogene 3	pseudogene	106481662
HGNC:48808	HNRNPDLP4	HNRNPDL pseudogene 4	pseudogene	100421657
HGNC:48809	HNRNPDLP5	HNRNPDL pseudogene 5	pseudogene	112351742
HGNC:5038	HNRNPDP1	heterogeneous nuclear ribonucleoprotein D pseudogene 1	pseudogene	8251
HGNC:48749	HNRNPDP2	heterogeneous nuclear ribonucleoprotein D pseudogene 2	pseudogene	106481661
HGNC:5039	HNRNPF	heterogeneous nuclear ribonucleoprotein F	gene with protein product	3185
HGNC:48812	HNRNPFP1	heterogeneous nuclear ribonucleoprotein F pseudogene 1	pseudogene	644449
HGNC:5041	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	gene with protein product	3187
HGNC:48751	HNRNPH1P1	heterogeneous nuclear ribonucleoprotein H1 pseudogene 1	pseudogene	100132803
HGNC:48810	HNRNPH1P2	heterogeneous nuclear ribonucleoprotein H1 pseudogene 2	pseudogene	100129368
HGNC:48811	HNRNPH1P3	heterogeneous nuclear ribonucleoprotein H1 pseudogene 3	pseudogene	402216
HGNC:5042	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	gene with protein product	3188
HGNC:5043	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	gene with protein product	3189
HGNC:48750	HNRNPH3P1	heterogeneous nuclear ribonucleoprotein H3 pseudogene 1	pseudogene	106480233
HGNC:5044	HNRNPK	heterogeneous nuclear ribonucleoprotein K	gene with protein product	3190
HGNC:42374	HNRNPKP1	heterogeneous nuclear ribonucleoprotein K pseudogene 1	pseudogene	389322
HGNC:42375	HNRNPKP2	heterogeneous nuclear ribonucleoprotein K pseudogene 2	pseudogene	389053
HGNC:42376	HNRNPKP3	heterogeneous nuclear ribonucleoprotein K pseudogene 3	pseudogene	399881
HGNC:42377	HNRNPKP4	heterogeneous nuclear ribonucleoprotein K pseudogene 4	pseudogene	644063
HGNC:42378	HNRNPKP5	heterogeneous nuclear ribonucleoprotein K pseudogene 5	pseudogene	100874385
HGNC:5045	HNRNPL	heterogeneous nuclear ribonucleoprotein L	gene with protein product	3191
HGNC:25127	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like	gene with protein product	92906
HGNC:48748	HNRNPLP1	heterogeneous nuclear ribonucleoprotein L pseudogene 1	pseudogene	442157
HGNC:48747	HNRNPLP2	heterogeneous nuclear ribonucleoprotein L pseudogene 2	pseudogene	644390
HGNC:5046	HNRNPM	heterogeneous nuclear ribonucleoprotein M	gene with protein product	4670
HGNC:48745	HNRNPMP1	heterogeneous nuclear ribonucleoprotein M pseudogene 1	pseudogene	645204
HGNC:48746	HNRNPMP2	heterogeneous nuclear ribonucleoprotein M pseudogene 2	pseudogene	390948
HGNC:5047	HNRNPR	heterogeneous nuclear ribonucleoprotein R	gene with protein product	10236
HGNC:44907	HNRNPRP1	heterogeneous nuclear ribonucleoprotein R pseudogene 1	pseudogene	100125387
HGNC:44908	HNRNPRP2	heterogeneous nuclear ribonucleoprotein R pseudogene 2	pseudogene	100421354
HGNC:44909	HNRNPRP3	heterogeneous nuclear ribonucleoprotein R pseudogene 3	pseudogene	100421323
HGNC:5048	HNRNPU	heterogeneous nuclear ribonucleoprotein U	gene with protein product	3192
HGNC:17011	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1	gene with protein product	11100
HGNC:25451	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	gene with protein product	221092
HGNC:49189	HNRNPUL2-BSCL2	HNRNPUL2-BSCL2 readthrough (NMD candidate)	readthrough	100534595
HGNC:19931	HNRNPUP1	heterogeneous nuclear ribonucleoprotein U pseudogene 1	pseudogene	319134
HGNC:25155	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	gene with protein product	112817
HGNC:17512	HOMER1	homer scaffold protein 1	gene with protein product	9456
HGNC:17513	HOMER2	homer scaffold protein 2	gene with protein product	9455
HGNC:20336	HOMER2P1	HOMER2 pseudogene 1	pseudogene	317768
HGNC:20334	HOMER2P2	HOMER2 pseudogene 2	pseudogene	317769
HGNC:17514	HOMER3	homer scaffold protein 3	gene with protein product	9454
HGNC:53775	HOMER3-AS1	HOMER3 antisense RNA 1	RNA, long non-coding	102724360
HGNC:20164	HOMEZ	homeobox and leucine zipper encoding	gene with protein product	57594
HGNC:19884	HOOK1	hook microtubule tethering protein 1	gene with protein product	51361
HGNC:19885	HOOK2	hook microtubule tethering protein 2	gene with protein product	29911
HGNC:23576	HOOK3	hook microtubule tethering protein 3	gene with protein product	84376
HGNC:24961	HOPX	HOP homeobox	gene with protein product	84525
HGNC:25245	HORMAD1	HORMA domain containing 1	gene with protein product	84072
HGNC:28383	HORMAD2	HORMA domain containing 2	gene with protein product	150280
HGNC:50729	HORMAD2-AS1	HORMAD2 and MTMR3 antisense RNA 1	RNA, long non-coding	101929664
HGNC:33510	HOTAIR	HOX transcript antisense RNA	RNA, long non-coding	100124700
HGNC:37117	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1	RNA, long non-coding	100506311
HGNC:37461	HOTTIP	HOXA distal transcript antisense RNA	RNA, long non-coding	100316868
HGNC:43745	HOXA-AS2	HOXA cluster antisense RNA 2	RNA, long non-coding	285943
HGNC:43748	HOXA-AS3	HOXA cluster antisense RNA 3	RNA, long non-coding	100133311
HGNC:5098	HOXA@	homeobox A cluster	region	3197
HGNC:5099	HOXA1	homeobox A1	gene with protein product	3198
HGNC:5103	HOXA2	homeobox A2	gene with protein product	3199
HGNC:5104	HOXA3	homeobox A3	gene with protein product	3200
HGNC:5105	HOXA4	homeobox A4	gene with protein product	3201
HGNC:5106	HOXA5	homeobox A5	gene with protein product	3202
HGNC:5107	HOXA6	homeobox A6	gene with protein product	3203
HGNC:5108	HOXA7	homeobox A7	gene with protein product	3204
HGNC:5109	HOXA9	homeobox A9	gene with protein product	3205
HGNC:5100	HOXA10	homeobox A10	gene with protein product	3206
HGNC:40281	HOXA10-AS	HOXA10 antisense RNA	RNA, long non-coding	100874323
HGNC:5101	HOXA11	homeobox A11	gene with protein product	3207
HGNC:24957	HOXA11-AS	HOXA11 antisense RNA	RNA, long non-coding	221883
HGNC:5102	HOXA13	homeobox A13	gene with protein product	3209
HGNC:43744	HOXB-AS1	HOXB cluster antisense RNA 1	RNA, long non-coding	100874362
HGNC:40284	HOXB-AS2	HOXB cluster antisense RNA 2	RNA, long non-coding	100874350
HGNC:40283	HOXB-AS3	HOXB cluster antisense RNA 3	RNA, long non-coding	404266
HGNC:40285	HOXB-AS4	HOXB cluster antisense RNA 4	RNA, long non-coding	100874351
HGNC:5110	HOXB@	homeobox B cluster	region	3210
HGNC:5111	HOXB1	homeobox B1	gene with protein product	3211
HGNC:5113	HOXB2	homeobox B2	gene with protein product	3212
HGNC:5114	HOXB3	homeobox B3	gene with protein product	3213
HGNC:5115	HOXB4	homeobox B4	gene with protein product	3214
HGNC:5116	HOXB5	homeobox B5	gene with protein product	3215
HGNC:5117	HOXB6	homeobox B6	gene with protein product	3216
HGNC:5118	HOXB7	homeobox B7	gene with protein product	3217
HGNC:5119	HOXB8	homeobox B8	gene with protein product	3218
HGNC:5120	HOXB9	homeobox B9	gene with protein product	3219
HGNC:5112	HOXB13	homeobox B13	gene with protein product	10481
HGNC:43749	HOXC-AS1	HOXC cluster antisense RNA 1	RNA, long non-coding	100874363
HGNC:43750	HOXC-AS2	HOXC cluster antisense RNA 2	RNA, long non-coding	100874364
HGNC:43751	HOXC-AS3	HOXC cluster antisense RNA 3	RNA, long non-coding	100874365
HGNC:5121	HOXC@	homeobox C cluster	region	3220
HGNC:5126	HOXC4	homeobox C4	gene with protein product	3221
HGNC:5127	HOXC5	homeobox C5	gene with protein product	3222
HGNC:5128	HOXC6	homeobox C6	gene with protein product	3223
HGNC:5129	HOXC8	homeobox C8	gene with protein product	3224
HGNC:5130	HOXC9	homeobox C9	gene with protein product	3225
HGNC:5122	HOXC10	homeobox C10	gene with protein product	3226
HGNC:5123	HOXC11	homeobox C11	gene with protein product	3227
HGNC:5124	HOXC12	homeobox C12	gene with protein product	3228
HGNC:5125	HOXC13	homeobox C13	gene with protein product	3229
HGNC:43753	HOXC13-AS	HOXC13 antisense RNA	RNA, long non-coding	100874366
HGNC:43756	HOXD-AS2	HOXD cluster antisense RNA 2	RNA, long non-coding	100506783
HGNC:5131	HOXD@	homeobox D cluster	region	3230
HGNC:5132	HOXD1	homeobox D1	gene with protein product	3231
HGNC:5137	HOXD3	homeobox D3	gene with protein product	3232
HGNC:5138	HOXD4	homeobox D4	gene with protein product	3233
HGNC:5139	HOXD8	homeobox D8	gene with protein product	3234
HGNC:5140	HOXD9	homeobox D9	gene with protein product	3235
HGNC:5133	HOXD10	homeobox D10	gene with protein product	3236
HGNC:5134	HOXD11	homeobox D11	gene with protein product	3237
HGNC:5135	HOXD12	homeobox D12	gene with protein product	3238
HGNC:5136	HOXD13	homeobox D13	gene with protein product	3239
HGNC:5141	HP	haptoglobin	gene with protein product	3240
HGNC:24973	HP1BP3	heterochromatin protein 1 binding protein 3	gene with protein product	50809
HGNC:5144	HPCA	hippocalcin	gene with protein product	3208
HGNC:5145	HPCAL1	hippocalcin like 1	gene with protein product	3241
HGNC:18212	HPCAL4	hippocalcin like 4	gene with protein product	51440
HGNC:5147	HPD	4-hydroxyphenylpyruvate dioxygenase	gene with protein product	3242
HGNC:28242	HPDL	4-hydroxyphenylpyruvate dioxygenase like	gene with protein product	84842
HGNC:26051	HPF1	histone PARylation factor 1	gene with protein product	54969
HGNC:5154	HPGD	15-hydroxyprostaglandin dehydrogenase	gene with protein product	3248
HGNC:17890	HPGDS	hematopoietic prostaglandin D synthase	gene with protein product	27306
HGNC:5155	HPN	hepsin	gene with protein product	3249
HGNC:47041	HPN-AS1	HPN antisense RNA 1	RNA, long non-coding	100128675
HGNC:5156	HPR	haptoglobin-related protein	gene with protein product	3250
HGNC:5157	HPRT1	hypoxanthine phosphoribosyltransferase 1	gene with protein product	3251
HGNC:51622	HPRT1P1	hypoxanthine phosphoribosyltransferase 1 pseudogene 1	pseudogene	100130067
HGNC:5160	HPRT1P2	hypoxanthine phosphoribosyltransferase 1 pseudogene 2	pseudogene	3254
HGNC:5161	HPRT1P3	hypoxanthine phosphoribosyltransferase 1 pseudogene 3	pseudogene	3255
HGNC:5163	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1	gene with protein product	3257
HGNC:15597	HPS3	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1	gene with protein product	84343
HGNC:15844	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2	gene with protein product	89781
HGNC:17022	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	gene with protein product	11234
HGNC:18817	HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3	gene with protein product	79803
HGNC:5164	HPSE	heparanase	gene with protein product	10855
HGNC:18374	HPSE2	heparanase 2 (inactive)	gene with protein product	60495
HGNC:5168	HPV6AI1	human papillomavirus (type 6a) integration site 1	virus integration site	3259
HGNC:5166	HPV18I1	human papillomavirus (type 18) integration site 1	virus integration site	3260
HGNC:5167	HPV18I2	human papillomavirus (type 18) integration site 2	virus integration site	3261
HGNC:5171	HPX	hemopexin	gene with protein product	3263
HGNC:16071	HPYR1	Helicobacter pylori responsive 1	RNA, long non-coding	93668
HGNC:5172	HR	HR lysine demethylase and nuclear receptor corepressor	gene with protein product	55806
HGNC:5173	HRAS	HRas proto-oncogene, GTPase	gene with protein product	3265
HGNC:5178	HRC	histidine rich calcium binding protein	gene with protein product	3270
HGNC:33872	HRCT1	histidine rich carboxyl terminus 1	gene with protein product	646962
HGNC:5180	HRES1	HTLV-1 related endogenous sequence	pseudogene	3272
HGNC:5181	HRG	histidine rich glycoprotein	gene with protein product	3273
HGNC:5182	HRH1	histamine receptor H1	gene with protein product	3269
HGNC:5183	HRH2	histamine receptor H2	gene with protein product	3274
HGNC:5184	HRH3	histamine receptor H3	gene with protein product	11255
HGNC:17383	HRH4	histamine receptor H4	gene with protein product	59340
HGNC:5185	HRK	harakiri, BCL2 interacting protein	gene with protein product	8739
HGNC:20846	HRNR	hornerin	gene with protein product	388697
HGNC:28460	HROB	homologous recombination factor with OB-fold	gene with protein product	78995
HGNC:24979	HS1BP3	HCLS1 binding protein 3	gene with protein product	64342
HGNC:41474	HS1BP3-IT1	HS1BP3 intronic transcript 1	RNA, long non-coding	100874343
HGNC:5193	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	gene with protein product	9653
HGNC:5194	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	gene with protein product	9957
HGNC:5195	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	gene with protein product	9956
HGNC:5196	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	gene with protein product	9955
HGNC:5198	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1	gene with protein product	9953
HGNC:5200	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	gene with protein product	9951
